"PROGRAMA","FACULTAD","NIVEL","SEDE_NOMBRE_MAT","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Medio Ambiente Y Desarrollo","Minas","Maestría","Medellín",11,0,11,9,9,16,15,23,16,26,18,10
"Mercados De Energia","Minas","Especialización","Medellín",9,0,10,15,37,15,9,11,21,12,17,8
"Meteorologia","Ciencias","Maestría","Bogotá",6,0,7,4,5,4,4,5,4,3,3,1
"Microbiologia","Ciencias","Maestría","Bogotá",14,0,14,11,15,25,22,14,21,15,9,14
"Musica","Artes","Pregrado","Bogotá",7,0,8,3,8,8,10,4,6,7,9,3
"Musica Instrumental","Artes","Pregrado","Bogotá",21,0,33,18,31,42,46,57,40,36,49,33
"Musicoterapia","Artes","Maestría","Bogotá",4,0,4,19,6,20,10,14,6,13,15,17
"Neurologia Clinica","Medicina","Especialidades Médicas","Bogotá",1,0,2,2,2,2,2,2,4,3,3,3
"Neuropediatria","Medicina","Especialidades Médicas","Bogotá",2,0,3,1,2,2,2,2,3,2,3,2
"Nutricion Animal","Ciencias agrarias","Especialización","Medellín",2,0,1,7,4,3,1,0,5,0,5,0
"Nutricion Y Dietetica","Medicina","Pregrado","Bogotá",78,0,47,67,40,43,73,53,60,58,59,33
"Obstetricia Y Ginecologia","Medicina","Especialidades Médicas","Bogotá",7,0,9,8,8,8,7,8,8,10,11,10
"Odontologia","Odontología","Pregrado","Bogotá",85,79,51,61,70,83,79,67,85,91,68,31
"Oftalmologia","Medicina","Especialidades Médicas","Bogotá",2,0,2,1,2,2,1,2,2,2,2,2
"Onco - Hematologia Pediatrica","Medicina","Especialidades Médicas","Bogotá",2,0,2,1,1,1,1,2,2,2,2,2
"Operatoria Dental Estetica","Odontología","Especialización","Bogotá",12,0,10,9,12,9,11,6,12,8,10,6
"Ordenamiento Urbano-Regional","Artes","Maestría","Bogotá",3,0,3,10,3,5,1,11,5,3,7,3
"Ortodoncia Y Ortopedia Maxilar","Odontología","Especialidades Médicas","Bogotá",8,0,0,6,5,6,6,7,7,7,6,0
"Ortopedia Y Traumatologia","Medicina","Especialidades Médicas","Bogotá",4,0,5,5,4,4,4,4,4,3,3,5
"Otorrinolaringologia","Medicina","Especialidades Médicas","Bogotá",2,0,2,3,3,1,2,4,3,3,3,3
"Patologia Anatomica Y Clinica","Medicina","Especialidades Médicas","Bogotá",2,0,3,1,1,2,3,2,0,2,2,1
"Patologia De La Edificacion Y Tecnicas De Intervencion Y Prevencion","Arquitectura","Especialización","Medellín",11,0,0,15,1,9,10,16,14,17,11,15
"Pediatria","Medicina","Especialidades Médicas","Bogotá",12,0,13,14,14,14,14,15,12,12,13,16
"Perinatologia Y Neonatologia","Medicina","Especialidades Médicas","Bogotá",2,0,3,2,2,2,2,1,1,3,2,1
"Planeacion Urbano-Regional","Arquitectura","Especialización","Medellín",6,0,0,0,0,0,0,13,0,0,0,0
"Psicologia","Ciencias humanas","Maestría","Bogotá",5,0,5,12,7,15,8,19,26,13,34,15
"Psicologia","Ciencias humanas","Pregrado","Bogotá",75,0,85,90,107,128,117,134,111,115,133,39
"Quimica","Ciencias","Doctorado","Bogotá",12,0,12,9,7,12,5,9,10,12,12,3
"Quimica","Ciencias","Maestría","Bogotá",29,0,28,29,18,36,30,23,31,24,30,10
"Quimica","Ciencias","Maestría","Medellín",6,0,5,6,7,7,3,2,6,0,2,6
"Quimica","Ciencias","Pregrado","Bogotá",82,0,64,54,33,33,35,43,38,55,49,26
"Radiologia E Imagenes Diagnosticas","Medicina","Especialidades Médicas","Bogotá",3,0,3,0,3,3,3,4,4,4,4,4
"Rehabilitacion Oral","Odontología","Especialidades Médicas","Bogotá",6,0,0,7,5,5,7,6,8,7,7,0
"Reumatologia","Medicina","Especialidades Médicas","Bogotá",2,0,3,2,3,2,3,3,2,3,1,3
"Salud Animal","Medicina veterinaria y de zootecnia","Doctorado","Bogotá",1,0,1,5,0,1,0,0,0,0,0,0
"Salud Ocupacional","Enfermería","Especialización","Bogotá",20,0,0,12,10,17,15,12,13,0,0,0
"Salud Publica","Medicina","Doctorado","Bogotá",5,0,4,3,8,5,7,10,8,6,6,3
"Salud Publica","Medicina","Maestría","Bogotá",23,0,20,21,8,35,14,8,9,13,10,5
"Salud Y Produccion Animal","Medicina veterinaria y de zootecnia","Maestría","Bogotá",13,0,5,14,10,10,10,10,4,0,0,0
"Salud Y Seguridad En El Trabajo","Enfermería","Maestría","Bogotá",3,0,9,13,10,13,6,7,5,7,5,1
"Sistemas","Minas","Especialización","Medellín",4,0,1,6,6,10,13,11,2,1,6,2
"Sociologia","Ciencias humanas","Maestría","Bogotá",9,0,12,12,5,10,8,4,7,10,16,5
"Sociologia","Ciencias humanas","Pregrado","Bogotá",64,0,51,42,52,62,66,75,93,70,72,30
"Terapia Ocupacional","Medicina","Pregrado","Bogotá",35,0,37,29,26,15,25,17,17,27,13,7
"Toxicologia","Medicina","Maestría","Bogotá",2,0,20,3,5,4,4,1,4,7,8,4
"Trabajo Social","Ciencias humanas","Pregrado","Bogotá",56,0,47,62,44,42,50,49,62,54,80,21
"Transito, Diseño Y Seguridad Vial","Ingeniería","Especialización","Bogotá",16,0,12,15,16,12,12,13,15,10,14,7
"Transportes","Ingeniería","Especialización","Bogotá",1,0,0,0,0,0,0,0,0,0,0,0
"Urbanismo","Artes","Maestría","Bogotá",4,0,12,11,3,3,4,4,9,6,6,6
"Urologia","Medicina","Especialidades Médicas","Bogotá",2,0,2,2,1,2,2,0,2,1,2,3
"Vias Y Transportes","Ingeniería y arquitectura","Especialización","Manizales",11,0,39,24,35,50,52,30,41,63,69,16
"Vias Y Transportes","Minas","Especialización","Medellín",18,0,10,17,7,23,42,58,27,17,12,14
"Zootecnia","Ciencias agrarias","Pregrado","Medellín",55,0,43,57,37,34,34,24,34,34,34,11
"Zootecnia","Ciencias Agropecuarias","Pregrado","Palmira",42,0,25,33,41,39,56,23,57,54,22,16
"Zootecnia","Medicina veterinaria y de zootecnia","Pregrado","Bogotá",76,0,93,58,58,60,66,51,43,33,46,29
"Administracion","Administración","Especialización","Manizales",0,48,0,0,0,0,0,0,0,0,0,0
"Administracion","Administración","Pregrado","Manizales",0,243,0,0,0,0,0,0,0,0,0,0
"Agronomia","Ciencias agrarias","Doctorado","Bogotá",0,6,0,0,0,0,0,0,0,0,0,0
"Agronomia","Ciencias agrarias","Especialización","Bogotá",0,25,0,0,0,0,0,0,0,0,0,0
"Agronomia","Ciencias agrarias","Maestría","Bogotá",0,28,0,0,0,0,0,0,0,0,0,0
"Agronomia","Ciencias agrarias","Pregrado","Bogotá",0,80,0,0,0,0,0,0,0,0,0,0
"Amazonia","Amazonía","Especialización","Amazonía",0,2,0,0,0,0,0,0,0,0,0,0
"Amazonia","Amazonía","Maestría","Amazonía",0,13,0,0,0,0,0,0,0,0,0,0
"Arquitectura","Arquitectura","Especialización","Medellín",0,139,0,0,0,0,0,0,0,0,0,0
"Arquitectura","Arquitectura","Maestría","Medellín",0,16,3,3,2,6,7,3,4,6,3,0
"Artes","Artes","Especialización","Bogotá",0,111,0,0,0,0,0,0,0,0,0,0
"Artes","Artes","Maestría","Bogotá",0,127,0,0,0,0,0,0,0,0,0,0
"Artes","Artes","Pregrado","Bogotá",0,345,0,0,0,0,0,0,0,0,0,0
"Ciencias","Ciencias","Doctorado","Bogotá",0,28,0,0,0,0,0,0,0,0,0,0
"Ciencias","Ciencias","Especialización","Bogotá",0,63,0,0,0,0,0,0,0,0,0,0
"Ciencias","Ciencias","Especialización","Medellín",0,13,0,0,0,0,0,0,0,0,0,0
"Ciencias","Ciencias","Maestría","Bogotá",0,198,0,0,0,0,0,0,0,0,0,0
"Ciencias","Ciencias","Maestría","Medellín",0,47,0,0,0,0,0,0,0,0,0,0
"Ciencias","Ciencias","Pregrado","Bogotá",0,357,0,0,0,0,0,0,0,0,0,0
"Ciencias","Ciencias","Pregrado","Medellín",0,131,0,0,0,0,0,0,0,0,0,0
"Ciencias Agropecuarias","Ciencias agrarias","Doctorado","Medellín",0,1,0,0,0,0,0,0,0,0,0,0
"Ciencias Agropecuarias","Ciencias agrarias","Especialización","Medellín",0,11,0,0,0,0,0,0,0,0,0,0
"Ciencias Agropecuarias","Ciencias agrarias","Maestría","Medellín",0,24,0,0,0,0,0,0,0,0,0,0
"Ciencias Agropecuarias","Ciencias agrarias","Pregrado","Medellín",0,141,0,0,0,0,0,0,0,0,0,0
"Ciencias Agropecuarias","Ciencias Agropecuarias","Doctorado","Palmira",0,2,0,0,0,0,0,0,0,0,0,0
"Ciencias Agropecuarias","Ciencias Agropecuarias","Especialización","Palmira",0,19,0,0,0,0,0,0,0,0,0,0
"Ciencias Agropecuarias","Ciencias Agropecuarias","Maestría","Palmira",0,26,0,0,0,0,0,0,0,0,0,0
"Ciencias Agropecuarias","Ciencias Agropecuarias","Pregrado","Palmira",0,78,0,0,0,0,0,0,0,0,0,0
"Ciencias Economicas","Ciencias económicas","Pregrado","Bogotá",0,516,0,0,0,0,0,0,0,0,0,0
"Ciencias Exactas Y Naturales","Ciencias exactas y naturales","Maestría","Manizales",0,8,0,0,0,0,0,0,0,0,0,0
"Ciencias Exactas Y Naturales","Ciencias exactas y naturales","Pregrado","Manizales",0,35,0,0,0,0,0,0,0,0,0,0
"Ciencias Humanas","Ciencias humanas","Doctorado","Bogotá",0,4,0,0,0,0,0,0,0,0,0,0
"Ciencias Humanas","Ciencias humanas","Especialización","Bogotá",0,9,0,0,0,0,0,0,0,0,0,0
"Ciencias Humanas","Ciencias humanas","Maestría","Bogotá",0,81,0,0,0,0,0,0,0,0,0,0
"Ciencias Humanas","Ciencias humanas","Pregrado","Bogotá",0,709,0,0,0,0,0,0,0,0,0,0
"Ciencias Humanas Y Economicas","Ciencias humanas y económicas","Doctorado","Medellín",0,4,0,0,0,0,0,0,0,0,0,0
"Ciencias Humanas Y Economicas","Ciencias humanas y económicas","Especialización","Medellín",0,5,0,0,0,0,0,0,0,0,0,0
"Ciencias Humanas Y Economicas","Ciencias humanas y económicas","Maestría","Medellín",0,7,0,0,0,0,0,0,0,0,0,0
"Ciencias Humanas Y Economicas","Ciencias humanas y económicas","Pregrado","Medellín",0,194,0,0,0,0,0,0,0,0,0,0
"Derecho, Ciencias Politicas Y Sociales","Derecho, ciencias políticas y sociales","Especialización","Bogotá",0,505,0,0,0,0,0,0,0,0,0,0
"Derecho, Ciencias Politicas Y Sociales","Derecho, ciencias políticas y sociales","Maestría","Bogotá",0,23,0,0,0,0,0,0,0,0,0,0
"Derecho, Ciencias Politicas Y Sociales","Derecho, ciencias políticas y sociales","Pregrado","Bogotá",0,262,0,0,0,0,0,0,0,0,0,0
"Enfermeria","Enfermería","Especialización","Bogotá",0,14,0,0,0,0,0,0,0,0,0,0
"Ingenieria","Ingeniería","Doctorado","Bogotá",0,1,0,0,0,0,0,0,0,0,0,0
"Ingenieria","Ingeniería","Especialización","Bogotá",0,31,0,0,0,0,0,0,0,0,0,0
"Ingenieria","Ingeniería","Maestría","Bogotá",0,87,0,0,0,0,0,0,0,0,0,0
"Ingenieria","Ingeniería","Pregrado","Bogotá",0,704,0,0,0,0,0,0,0,0,0,0
"Ingenieria Y Administracion","Ingeniería y administración","Pregrado","Palmira",0,226,0,0,0,0,0,0,0,0,0,0
"Ingenieria Y Arquitectura","Ingeniería y arquitectura","Doctorado","Manizales",0,8,0,0,0,0,0,0,0,0,0,0
"Ingenieria Y Arquitectura","Ingeniería y arquitectura","Especialización","Manizales",0,67,0,0,0,0,0,0,0,0,0,0
"Ingenieria Y Arquitectura","Ingeniería y arquitectura","Maestría","Manizales",0,26,0,0,0,0,0,0,0,0,0,0
"Ingenieria Y Arquitectura","Ingeniería y arquitectura","Pregrado","Manizales",0,477,0,0,0,0,0,0,0,0,0,0
"Medicina","Medicina","Doctorado","Bogotá",0,8,0,0,0,0,0,0,0,0,0,0
"Medicina","Medicina","Especialidades Médicas","Bogotá",0,99,0,0,0,0,0,0,0,0,0,0
"Medicina","Medicina","Especialización","Bogotá",0,11,0,0,0,0,0,0,0,0,0,0
"Medicina","Medicina","Maestría","Bogotá",0,98,0,0,0,0,0,0,0,0,0,0
"Medicina Veterinaria Y De Zootecnia","Medicina veterinaria y de zootecnia","Especialidades Médicas","Bogotá",0,3,0,0,0,0,0,0,0,0,0,0
"Medicina Veterinaria Y De Zootecnia","Medicina veterinaria y de zootecnia","Maestría","Bogotá",0,11,0,0,0,0,0,0,0,0,0,0
"Medicina Veterinaria Y De Zootecnia","Medicina veterinaria y de zootecnia","Pregrado","Bogotá",0,96,0,0,0,0,0,0,0,0,0,0
"Minas","Minas","Doctorado","Medellín",0,8,0,0,0,0,0,0,0,0,0,0
"Minas","Minas","Especialización","Medellín",0,152,0,0,0,0,0,0,0,0,0,0
"Minas","Minas","Maestría","Medellín",0,66,0,0,0,0,0,0,0,0,0,0
"Minas","Minas","Pregrado","Medellín",0,804,0,0,0,0,0,0,0,0,0,0
"Odontologia","Odontología","Especialidades Médicas","Bogotá",0,2,0,0,0,0,0,0,0,0,0,0
"Accion Sin Daño Y Construccion De Paz","Ciencias humanas","Especialización","Bogotá",0,0,23,14,14,15,17,13,33,25,34,23
"Actuaria","Ciencias","Especialización","Bogotá",0,0,15,1,0,0,0,0,0,0,0,0
"Administración De Empresas (Nocturno)","Administración","Pregrado","Manizales",0,0,64,34,59,51,22,0,39,60,46,35
"Administración En Salud Pública","Medicina","Especialización","Bogotá",0,0,9,39,37,33,31,28,14,20,33,18
"Analisis Espacial","Ciencias humanas","Especialización","Bogotá",0,0,10,4,8,8,7,21,17,14,15,4
"Aprovechamiento De Recursos Hidráulicos","Minas","Especialización","Medellín",0,0,6,4,9,24,14,15,22,26,16,5
"Arquitectura De La Vivienda","Artes","Maestría","Bogotá",0,0,1,3,2,3,4,3,2,1,1,0
"Artes Plásticas Y Visuales","Arquitectura","Maestría","Medellín",0,0,6,1,0,12,0,0,7,6,6,2
"Auditoria De Sistemas","Administración","Especialización","Manizales",0,0,27,11,1,16,11,6,0,8,7,0
"Biociencias Y Derecho","Derecho, ciencias políticas y sociales","Maestría","Bogotá",0,0,2,5,1,6,1,0,1,0,5,3
"Biotecnologia","Ciencias","Doctorado","Bogotá",0,0,2,1,1,4,4,2,4,4,6,4
"Biotecnologia","Ciencias","Especialización","Medellín",0,0,4,5,5,3,4,4,9,0,1,2
"Ciencia Y Tecnología Cosmética","Ciencias","Especialización","Bogotá",0,0,12,16,11,16,10,17,12,17,13,1
"Ciencias Biologicas","Ciencias Agropecuarias","Maestría","Palmira",0,0,3,4,10,8,12,5,7,7,5,3
"Ciencias Farmaceuticas","Ciencias","Doctorado","Bogotá",0,0,2,1,0,4,4,2,0,4,6,4
"Ciencias Fisica","Ciencias","Especialización","Bogotá",0,0,1,0,0,0,1,0,0,1,0,0
"Cirugia Oral Y Maxilofacial","Odontología","Especialización","Bogotá",0,0,3,0,0,0,0,0,0,0,0,0
"Cirugia Pediatrica","Medicina","Especialidades Médicas","Bogotá",0,0,1,2,2,2,2,2,2,1,2,2
"Comunicacion Y Medios","Artes","Maestría","Bogotá",0,0,3,0,0,0,0,0,0,0,0,0
"Conservacion Del Patrimonio Cultural Inmueble","Artes","Maestría","Bogotá",0,0,1,6,3,3,3,1,0,2,6,4
"Cuidado Intensivo Pediatrico","Medicina","Especialidades Médicas","Bogotá",0,0,3,2,2,2,3,1,2,2,0,1
"Derechos Humanos Y Derecho Internacional Humanitario","Derecho, ciencias políticas y sociales","Especialización","Bogotá",0,0,1,0,17,0,35,28,22,37,61,30
"Enseñanza De Las Ciencias Exactas Y Naturales","Ciencias","Maestría","Bogotá",0,0,44,124,63,102,82,95,86,61,44,19
"Enseñanza De Las Ciencias Exactas Y Naturales","Ciencias exactas y naturales","Maestría","Manizales",0,0,1,12,29,32,29,42,53,74,22,7
"Enseñanza De Las Ciencias Exactas Y Naturales","Ingeniería y administración","Maestría","Palmira",0,0,7,13,23,28,47,18,18,171,37,11
"Estadistica","Ciencias","Doctorado","Bogotá",0,0,2,1,0,3,4,2,0,1,1,2
"Estetica","Ciencias humanas y económicas","Especialización","Medellín",0,0,1,0,0,0,0,0,1,0,0,0
"Estomatologia Pediatrica Y Ortopedia Maxilar","Odontología","Especialización","Bogotá",0,0,5,0,0,0,0,0,0,0,0,0
"Estructuras","Ingeniería y arquitectura","Especialización","Manizales",0,0,13,10,19,16,10,16,34,53,54,17
"Estudios Del Caribe","Caribe","Maestría","Caribe",0,0,12,1,3,3,1,3,3,0,2,1
"Estudios Feministas Y De Genero","Ciencias humanas","Especialización","Bogotá",0,0,4,0,6,8,9,14,1,0,0,16
"Estudios Politicos","Ciencias económicas","Maestría","Bogotá",0,0,11,18,11,11,16,8,11,8,12,12
"Finanzas Corporativas","Administración","Especialización","Manizales",0,0,14,34,22,25,30,33,32,28,21,14
"Fisica","Ciencias","Doctorado","Bogotá",0,0,3,7,3,3,4,2,8,7,12,1
"Gerencia Estrategica De Proyectos","Administración","Especialización","Manizales",0,0,21,87,57,75,98,101,133,66,78,23
"Horticultura","Ciencias agrarias","Especialización","Bogotá",0,0,1,0,0,0,0,0,0,0,0,0
"Ingenieria - Ciencia Y Tecnologia De Materiales","Minas","Doctorado","Medellín",0,0,6,4,4,8,4,5,5,5,6,8
"Ingenieria - Geotecnia","Ingeniería","Doctorado","Bogotá",0,0,2,0,0,0,0,0,0,1,0,0
"Ingenieria - Ingenieria De Sistemas Y Computacion","Ingeniería","Maestría","Bogotá",0,0,13,18,1,19,1,9,25,22,27,10
"Ingenieria - Ingenieria Electrica","Ingeniería","Doctorado","Bogotá",0,0,2,5,3,0,0,3,3,3,7,4
"Ingenieria - Sistemas Y Computacion","Ingeniería","Doctorado","Bogotá",0,0,2,1,3,4,7,3,8,0,0,0
"Ingenieria Automatica","Ingeniería y arquitectura","Doctorado","Manizales",0,0,8,6,8,10,2,0,0,0,0,0
"Ingenieria Hidraulica Y Ambiental","Ingeniería y arquitectura","Especialización","Manizales",0,0,16,17,21,20,19,40,28,54,32,3
"Materiales Y Procesos","Minas","Especialización","Medellín",0,0,3,0,2,3,3,5,2,0,0,0
"Mercados Y Politicas De Suelo En America Latina","Derecho, ciencias políticas y sociales","Especialización","Bogotá",0,0,23,30,25,28,18,27,14,22,14,14
"Museologia Y Gestion Del Patrimonio","Artes","Maestría","Bogotá",0,0,3,7,5,14,10,6,4,19,4,3
"Neumologia Clinica","Medicina","Especialidades Médicas","Bogotá",0,0,3,0,1,0,1,2,0,1,2,1
"Neurociencias","Medicina","Maestría","Bogotá",0,0,1,4,6,5,9,4,5,7,11,7
"Neurocirugia","Medicina","Especialidades Médicas","Bogotá",0,0,1,1,0,1,1,1,1,1,2,3
"Ortodoncia Y Ortopedia Maxilar","Odontología","Especialización","Bogotá",0,0,10,0,0,0,0,0,0,0,0,0
"Pedagogia Del Diseño","Artes","Especialización","Bogotá",0,0,15,16,13,13,17,10,8,12,8,15
"Pedagogia Del Piano","Artes","Maestría","Bogotá",0,0,3,0,1,2,7,2,0,3,3,0
"Psicoanalisis, Subjetividad Y Cultura (De Freud A Lacan)","Ciencias humanas","Maestría","Bogotá",0,0,2,1,6,6,12,5,8,1,5,4
"Psiquiatria","Medicina","Especialidades Médicas","Bogotá",0,0,5,6,5,4,2,6,8,3,4,3
"Rehabilitacion Oral","Odontología","Especialización","Bogotá",0,0,4,0,0,0,0,0,0,0,0,0
"Trabajo Social","Ciencias humanas","Maestría","Bogotá",0,0,5,7,4,3,3,7,3,7,9,2
"Ciencia Y Tecnología De Alimentos","Ciencias","Maestría","Bogotá",0,0,0,6,4,6,0,0,0,0,0,0
"Ciencias Agrarias","Ciencias humanas y económicas","Maestría","Medellín",0,0,0,1,0,0,0,0,0,0,0,0
"Ciencias Biomedicas","Medicina","Doctorado","Bogotá",0,0,0,1,0,0,6,4,1,3,1,1
"Comunicacion Y Medios","Ciencias humanas","Maestría","Bogotá",0,0,0,4,1,1,5,6,8,14,8,7
"Diseño Urbano","Artes","Especialización","Bogotá",0,0,0,1,0,0,0,0,0,0,0,0
"Endodoncia","Odontología","Especialidades Médicas","Bogotá",0,0,0,11,8,8,7,7,8,7,6,7
"Enseñanza De Las Ciencias Exactas Y Naturales","Ciencias","Maestría","Medellín",0,0,0,105,68,122,110,148,110,38,36,38
"Estadistica","Ciencias","Doctorado","Medellín",0,0,0,1,1,1,1,0,0,0,0,1
"Estudios Sociales De La Ciencia","Ciencias humanas","Maestría","Bogotá",0,0,0,1,0,4,2,4,5,4,9,2
"Geografia","Ciencias humanas","Maestría","Bogotá",0,0,0,1,3,3,5,6,8,11,9,3
"Historia","Minas","Maestría","Medellín",0,0,0,1,0,0,0,0,0,0,0,0
"Ingenieria - Industria Y Organizaciones","Minas","Doctorado","Medellín",0,0,0,1,0,0,3,6,7,5,2,2
"Ingenieria - Ingenieria Industrial","Ingeniería y arquitectura","Maestría","Manizales",0,0,0,6,2,10,8,7,6,12,7,2
"Ingenieria - Recursos Hidraulicos","Minas","Doctorado","Medellín",0,0,0,1,0,3,2,1,1,3,11,2
"Ingenieria Mecanica","Minas","Maestría","Medellín",0,0,0,3,3,3,6,2,5,0,0,0
"Morfologia Humana","Medicina","Maestría","Bogotá",0,0,0,9,3,3,3,4,4,3,4,0
"Periodoncia","Odontología","Especialidades Médicas","Bogotá",0,0,0,10,6,7,6,5,7,7,6,6
"Politicas Publicas","Derecho, ciencias políticas y sociales","Maestría","Bogotá",0,0,0,1,3,10,5,5,10,14,10,4
"Sistemas","Ciencias agrarias","Especialización","Medellín",0,0,0,1,0,0,0,0,0,0,0,0
"Tecnologia Forestal","Ciencias agrarias","Pregrado","Medellín",0,0,0,16,4,1,0,0,0,0,0,0
"Biologia","Caribe","Maestría","Caribe",0,0,0,0,1,0,5,2,6,2,3,2
"Construccion","Arquitectura","Maestría","Medellín",0,0,0,0,2,7,3,7,7,13,10,1
"Derecho","Derecho, ciencias políticas y sociales","Doctorado","Bogotá",0,0,0,0,1,0,3,5,2,5,5,3
"Filologia E Idiomas Aleman","Ciencias humanas","Pregrado","Bogotá",0,0,0,0,18,8,0,0,0,0,0,0
"Filologia E Idiomas Frances","Ciencias humanas","Pregrado","Bogotá",0,0,0,0,26,15,0,0,0,0,0,0
"Filologia E Idiomas Ingles","Ciencias humanas","Pregrado","Bogotá",0,0,0,0,42,23,1,0,0,0,0,0
"Ingenieria - Ciencia Y Tecnologia De Materiales","Ingeniería","Doctorado","Bogotá",0,0,0,0,2,2,5,4,9,2,9,2
"Ingenieria - Sistemas Y Computacion","Ingeniería","Maestría","Bogotá",0,0,0,0,9,0,0,0,0,0,0,0
"Ingenieria Agroindustrial","Ingeniería y administración","Maestría","Palmira",0,0,0,0,1,2,8,2,10,6,6,1
"Odontologia","Odontología","Maestría","Bogotá",0,0,0,0,6,3,4,1,1,4,3,0
"Administración De Sistemas Informáticos","Ingeniería y arquitectura","Pregrado","Manizales",0,0,0,0,0,1,0,0,0,0,0,0
"Agroecologia","Ciencias agrarias","Doctorado","Bogotá",0,0,0,0,0,1,3,1,1,1,3,2
"Agroecologia","Ciencias Agropecuarias","Doctorado","Palmira",0,0,0,0,0,1,1,3,1,5,4,1
"Arte Y Arquitectura","Artes","Doctorado","Bogotá",0,0,0,0,0,2,1,2,8,4,5,0
"Biotecnologia","Ciencias","Doctorado","Medellín",0,0,0,0,0,2,2,5,6,1,9,5
"Ciencia Y Tecnología De Alimentos","Ciencias agrarias","Especialización","Bogotá",0,0,0,0,0,6,25,17,13,11,17,3
"Ciencia Y Tecnología De Alimentos","Ciencias agrarias","Maestría","Bogotá",0,0,0,0,0,5,11,9,23,18,19,10
"Ciencias Humanas Y Sociales","Ciencias humanas y económicas","Doctorado","Medellín",0,0,0,0,0,1,3,0,2,7,10,4
"Fisioterapia Del Deporte Y La Actividad Fisica","Medicina","Maestría","Bogotá",0,0,0,0,0,2,5,8,4,6,9,5
"Geografia","Ciencias humanas","Doctorado","Bogotá",0,0,0,0,0,1,0,1,3,2,0,2
"Gestion Cultural Con Enfasis En Planeacion Y Politicas Culturales","Administración","Especialización","Manizales",0,0,0,0,0,8,10,28,30,39,19,20
"Ingenieria - Ingenieria Electrica","Ingeniería y arquitectura","Maestría","Manizales",0,0,0,0,0,5,0,6,0,13,17,7
"Ingenieria - Ingenieria Electrica","Minas","Maestría","Medellín",0,0,0,0,0,2,9,4,8,13,9,4
"Ingenieria - Sistemas Energeticos","Minas","Maestría","Medellín",0,0,0,0,0,1,5,2,10,18,11,7
"Ingenieria Agroindustrial","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,1,7,3,1,5,0,0
"Ingenieria Ambiental","Ingeniería y administración","Maestría","Palmira",0,0,0,0,0,5,0,0,0,15,10,0
"Administracion","Ingeniería y administración","Maestría","Palmira",0,0,0,0,0,0,1,27,22,9,21,4
"Administracion - Convenio Universidad Tecnologica Del Choco","Ciencias económicas","Maestría","Bogotá",0,0,0,0,0,0,1,0,0,0,0,0
"Administracion De Empresas","Administración","Pregrado","Manizales",0,0,0,0,0,0,44,107,98,0,0,0
"Antropologia","Ciencias humanas","Doctorado","Bogotá",0,0,0,0,0,0,2,2,1,0,5,0
"Ciencias Agrarias","Ciencias agrarias","Doctorado","Medellín",0,0,0,0,0,0,4,6,3,6,5,3
"Ciencias Del Mar","Minas","Doctorado","Medellín",0,0,0,0,0,0,2,0,0,1,1,0
"Ciencias Estadistica","Ciencias","Doctorado","Medellín",0,0,0,0,0,0,1,3,0,0,0,0
"Ciencias Fisica","Ciencias","Doctorado","Medellín",0,0,0,0,0,0,1,0,4,0,0,0
"Contabilidad Y Finanzas","Ciencias económicas","Maestría","Bogotá",0,0,0,0,0,0,5,2,7,4,12,4
"Educacion Artistica","Artes","Maestría","Bogotá",0,0,0,0,0,0,22,2,22,1,29,0
"Enfermeria Materno Perinatal","Enfermería","Especialización","Bogotá",0,0,0,0,0,0,3,6,7,0,0,0
"Ergonomia","Ingeniería y administración","Especialización","Palmira",0,0,0,0,0,0,14,0,0,0,0,0
"Estudios De Genero - Area Mujer Y Desarrollo","Ciencias humanas","Maestría","Bogotá",0,0,0,0,0,0,7,7,16,13,11,6
"Estudios Politicos Latinoamericanos","Derecho, ciencias políticas y sociales","Maestría","Bogotá",0,0,0,0,0,0,5,6,5,6,3,5
"Estudios Politicos Y Relaciones Internacionales","Derecho, ciencias políticas y sociales","Doctorado","Bogotá",0,0,0,0,0,0,1,2,4,3,4,4
"Geomatica","Ciencias agrarias","Maestría","Bogotá",0,0,0,0,0,0,5,5,7,6,8,2
"Ingenieria - Automatica","Ingeniería y arquitectura","Doctorado","Manizales",0,0,0,0,0,0,6,11,7,18,8,3
"Ingenieria - Industria Y Organizaciones","Ingeniería","Doctorado","Bogotá",0,0,0,0,0,0,1,3,6,4,7,4
"Ingenieria - Industria Y Organizaciones","Ingeniería y arquitectura","Doctorado","Manizales",0,0,0,0,0,0,2,3,4,6,2,2
"Ingenieria - Ingenieria Ambiental","Ingeniería y administración","Maestría","Palmira",0,0,0,0,0,0,4,11,15,0,0,2
"Ingenieria - Ingenieria Ambiental","Ingeniería y arquitectura","Maestría","Manizales",0,0,0,0,0,0,2,7,6,1,9,1
"Ingenieria - Ingenieria De Petroleos","Minas","Maestría","Medellín",0,0,0,0,0,0,2,18,21,0,0,0
"Ingenieria - Ingenieria De Sistemas Y Computacion - Conv Upc","Ingeniería","Maestría","Bogotá",0,0,0,0,0,0,3,0,0,0,0,0
"Ingenieria - Ingenieria Mecanica Y Mecatronica","Ingeniería","Doctorado","Bogotá",0,0,0,0,0,0,1,2,4,1,3,2
"Ingenieria - Materiales Y Procesos","Ingeniería","Maestría","Bogotá",0,0,0,0,0,0,9,10,7,14,12,2
