"CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","n"
"Girardot",-74.8104629426,4.30370548896,93
"Girardota",-75.4436989853,6.37934992894,44
"Giron",-73.1683126853,7.07177401245,5
"Gomez plata",-75.2217555544,6.68411944774,20
"Granada",-73.698477557,3.5349351906,72
"Guaca",-72.8560844295,6.87687228146,2
"Guacamayas",-72.500600213,6.45971197395,1
"Guacari",-76.3335063129,3.76199549423,10
"Guachene",-76.3925660643942,3.1447367147866,6
"Guacheta",-73.6868961185,5.38359008958,10
"Guachucal",-77.7316556305,0.960368495971,49
"Guadalupe",-75.7590386418,2.02297348548,18
"Guaduas",-74.603414551,5.07248999376,28
"Guaitarilla",-77.5479120563,1.13086900013,18
"Gualmatan",-77.5664755001,0.919358440058,10
"Guamal",-73.7701203762,3.87974360369,21
"Guamo",-74.9714950458,4.02995546446,15
"Guapi",-77.8854667538,2.57198998096,13
"Guapota",-73.3209067076,6.3083874905,1
"Guarne",-75.4353027477292,6.2692840353564,38
"Guasca",-73.878069051,4.86754875217,12
"Guatape",-75.1556269715,6.23233737137,17
"Guatavita",-73.8333374514,4.93396486437,12
"Guateque",-73.4722844817,5.00708724993,24
"Guatica",-75.7964483643,5.31491484847,15
"Guayabal de siquima",-74.4673483566,4.87794137161,2
"Guayabetal",-73.8170325455,4.2170694586,4
"Guayata",-73.4901186533,4.96682008754,3
"Guepsa",-73.5713144981,6.02638642861,1
"Güepsa",-73.5713144981,6.02638642861,6
"Guican",-72.4120601319,6.46292958742,15
"Gutierrez",-74.002986808,4.25493902272,1
"Hacari",-73.1459084076,8.32162940594,4
"Hatillo de loba",-74.2215352836,8.94870933834,1
"Hato corozal",-71.7646275436,6.15639181167,2
"Hatonuevo",-72.7625018015,11.0672820787,1
"Heliconia",-75.7496020650797,6.2144824592065,5
"Herveo",-75.1782250336,5.07994522497,19
"Hispania",-75.9049374881,5.7988794992,2
"Hobo",-75.4526284391,2.58346785394,3
"Honda",-74.7417614867,5.20098204315,38
"Ibague",-75.1963501468,4.4396307255,644
"Icononzo",-74.5279984191,4.17413014301,7
"Iles",-77.5213951381,0.968495857115,11
"Imues",-77.4965675723,1.0551982914,8
"Inirida",-67.918283684,3.87032554774,12
"Inza",-76.0639665737,2.54873811501,19
"Ipiales",-77.646095663,0.829031718872,377
"Iquira",-75.6350419181,2.65000134507,4
"Isnos",-76.2145418301,1.93035577877,8
"Istmina",-76.6860015418,5.15335100326,36
"Itagui",-75.629721946,6.16815830322,21
"Itagüi",-75.629721946,6.16815830322,504
"Ituango",-75.76416656,7.17162301036,31
"Iza",-72.9796484028,5.61235844867,6
"Jamundi",-76.5388095508,3.26418634132,12
"Jardin",-75.8230669283,5.6009650382,21
"Jenesano",-73.3639584567,5.38487936219,4
"Jerico",-75.7647999637893,5.7697584791988,26
"Jerusalen",-74.6946601122,4.56243784729,2
"Jesus maria",-73.7827825923,5.87653148988,2
"Juan de acosta",-75.0321458392,10.8299007844,3
"Junin",-73.662973651,4.79029733471,7
"Jurado",-77.7646171026,7.10603959523,4
"La argentina",-75.9791654498,2.19897948866,6
"La belleza",-73.9649519446,5.85928066933,10
"La calera",-73.9701238854,4.72014400857,37
"La capilla",-73.445010629,5.09555866963,5
"La ceja",-75.4309210797418,5.993145794356,114
"La celia",-76.0031932924,5.00337011185,1
"La chorrera",-72.7588253369472,-1.2423641464413,1
"La cruz",-76.9711823702,1.60014416755,30
"La cumbre",-76.5681664632,3.64718929344,8
"La dorada",-74.6744521523,5.44389999408,104
"La estrella",-75.6504125158,6.16404964537,18
"La florida",-77.4073937557,1.29916722678,11
"La gloria",-73.8011114104,8.61801512913,1
"La jagua de ibirico",-73.3355518107,9.56286705626,2
"La llanada",-77.5800004243,1.47292218692,2
"La macarena",-73.7864661865,2.18362946977,1
"La merced",-75.5473481633,5.39480455966,14
"La mesa",-74.4542881209,4.63537372117,28
"La montañita",-75.4361470337,1.48833022079,6
"La palma",-74.3909112772,5.35896522525,4
"La paz",-73.1726913052,10.3864677933,14
"La pedrera",-70.035395399943,-1.4323734428449,5
"La plata",-75.8911122161,2.38932771847,33
"La playa",-73.2381390884,8.2135938264,4
"La sierra",-76.7632022599,2.17704168214,1
"La tebaida",-75.7885139466,4.45288108378,5
"La tola",-78.1897982893,2.39792155095,2
"La union",-77.128385668,1.59247717673,52
"La uvita",-72.5594378649,6.31679484036,6
"La vega",-76.7815037392,2.00463839075,16
"La victoria",-76.0362142089,4.52444084112,11
"La virginia",-75.8796584309,4.89834379545,7
"Labateca",-72.4949268328,7.29939120651,3
"Labranzagrande",-72.5775941245,5.56235834208,6
"Landazuri",-73.8090987971,6.21938700028,3
"Lebrija",-73.2196733968,7.11332219394,3
"Leiva",-77.3066651005,1.93449673792,6
"Lejanias",-74.0244023458,3.52569113573,4
"Lenguazaque",-73.7114452271,5.30602649574,3
"Lerida",-74.9116022877,4.86105174121,10
"Leticia",-69.9406798289,-4.21202316969,81
"Libano",-75.0532201721,4.91611360304,104
"Liborina",-75.8136759627,6.6763586892,3
"Linares",-77.5236269197,1.35127830979,29
"Lloro",-76.5425247368,5.49996186169,10
"Lopez",-77.2482770971,2.84591662511,1
"Lorica",-75.8066454098,9.10501029486,41
"Los andes",-77.5210875385,1.49420521996,14
"Los cordobas",-76.354709992,8.89510878077,1
"Los palmitos",-75.26813259,9.3801770601,10
"Los patios",-72.5060367469,7.83349267282,3
"Lourdes",-72.8320469133,7.94523586891,2
"Luruaco",-75.1423516448,10.6108621963,3
"Macanal",-73.319521182,4.97221733095,1
"Macaravita",-72.593288878,6.50676798489,3
"Maceo",-74.787847715,6.55311608541,6
"Macheta",-73.6065091545,5.0799154903,5
"Madrid",-74.2667554524,4.73284520314,54
"Magangue",-74.5867279829,8.99261335751,59
"Magüi",-78.0839854773,1.90955456261,5
"Mahates",-75.1906885946,10.2331675046,1
"Maicao",-72.2430361521,11.3774000042,30
"Majagual",-74.6278933714,8.54298963226,4
"Malaga",-72.732133306,6.7021775212,57
"Malambo",-74.8411152764,10.8125654841,9
"Mallama",-77.8646583337,1.14084161818,16
"Manaure",-73.028834101,10.3907483154,2
"Manaure",-72.4411882986,11.7699944929,2
"Mani",-72.2801607687,4.81684480839,6
"Manizales",-75.4904150625,5.05705056379,3722
"Manta",-73.5404699987,5.00919863012,3
"Manzanares",-75.1535019918,5.25410160582,56
"Mapiripan",-72.1332494945,2.89200026032,2
"Margarita",-74.293740633,9.15914023623,2
"Maria la baja",-75.2681654757,10.0519818532,5
"Marinilla",-75.3380784357,6.1735481398,43
"Maripi",-74.0046488073,5.54929277249,3
"Mariquita",-74.8893354654,5.20016963007,26
"Marmato",-75.5996904188,5.47433367144,7
"Marquetalia",-75.0478539726,5.29865089582,29
"Marsella",-75.7385271493,4.93666531666,5
"Marulanda",-75.258325325,5.2835107602,8
"Medellin",-75.5770556256,6.24894080956,7214
"Medina",-73.3505279079,4.50865387796,7
"Medio san juan",-76.6955301156,5.09660896906,1
"Melgar",-74.6269661858,4.20542800178,8
"Mercaderes",-77.1687293641,1.80307505355,6
"Mesetas",-74.0443664191,3.3822458552,5
"Milan",-75.507530311,1.29064424048,2
"Miraflores",-73.14486261,5.19594580009,22
"Miranda",-76.229670428,3.25189406596,9
"Mistrato",-75.8794193338,5.2946657063,4
"Mitu",-70.2349602618,1.25117078854,8
"Mocoa",-76.6519175009,1.14428450756,65
"Mogotes",-72.9704622901,6.47538726902,5
"Molagavita",-72.8090316759,6.67384550984,1
"Momil",-75.6766729838,9.24002156913,1
"Mompos",-74.4257994296,9.24102197372,17
"Mongua",-72.8002051309,5.75283042742,10
"Mongui",-72.8488798848,5.72336164372,9
"Moniquira",-73.5741080327,5.87376486789,40
"Montebello",-75.5237539337,5.94656365917,3
"Montecristo",-74.4626103179,8.01924600103,12
"Montelibano",-75.4088497209,7.98570061466,52
"Montenegro",-75.7508086191,4.5629703568,13
"Monteria",-76.1250820708,8.4570969832,355
"Monterrey",-72.8890956447,4.87941196756,12
"Moñitos",-76.134916122,9.24470996414,2
"Morales",-76.6255849081,2.74930602502,2
"Morelia",-75.7265584717,1.48803902537,2
"Morroa",-75.3103986052,9.32892494265,3
"Mosquera",-74.2282684727,4.71430462524,17
"Motavita",-73.3681498024,5.57754426501,2
"Murillo",-75.1703186573,4.87540969341,6
"Murindo",-76.8199865212,6.97696716669,3
"Mutata",-76.4367046955,7.24396317282,3
"Mutiscua",-72.7470801465,7.30024008229,1
"Muzo",-74.1030009907,5.53127931395,9
"Nariño",-75.1749212942,5.61099552193,117
"Nataga",-75.8093159945,2.54618538725,1
"Natagaima",-75.0905960235,3.62051386577,17
"Nechi",-74.7763395888,8.08874643365,6
"Necocli",-76.7876212535,8.42602528099,2
"Neira",-75.5197693228,5.16641593633,80
"Neiva",-75.2779458694,2.93554559251,423
"Nemocon",-73.8788906876,5.06759181007,9
"Nilo",-74.6205087644,4.30686374054,2
"Nobsa",-72.9316301644,5.77845241642,15
"Nocaima",-74.3774736098,5.06941560618,5
"Norcasia",-74.8891796242,5.575276372,4
"Novita",-76.6070694539,4.9560945273,4
"Nuevo colon",-73.4570665385,5.35506695617,6
"Nunchia",-72.1953826495,5.63712937413,2
"Nuqui",-77.2702238384,5.70573912127,4
"Obando",-75.9747307562,4.57493085648,2
"Ocaña",-73.3551957158,8.24666636498,88
"Oiba",-73.3000340004,6.26704785206,2
"Onzaga",-72.8139310472,6.34461189765,1
"Oporapa",-75.9975535895,2.02415893714,10
"Orito",-76.8802098557,0.676020477109,27
"Orocue",-71.3381053762,4.79003391817,4
"Ortega",-75.2207941366,3.93505594095,21
"Ospina",-77.5661809508,1.0588340604,5
"Otanche",-74.1813101815,5.65799269911,3
"Ovejas",-75.2288076868,9.52598596406,8
"Pacho",-74.1461795404,5.1508200093,24
"Pacora",-75.4600089101,5.52868689559,39
"Padilla",-76.3130175883,3.22299731562,2
"Paez",-75.9719235642,2.64531146532,16
"Paicol",-75.7750976769,2.44961436155,2
"Pailitas",-73.5721450529,8.93887217771,1
"Paime",-74.1528046237,5.370820318,2
"Paipa",-73.1167437822,5.78048910058,115
"Pajarito",-72.7025663298,5.29380067178,2
"Palermo",-75.4327850915,2.8866588236,8
"Palestina",-76.1328690995,1.72319912364,26
"Palmar de varela",-74.7537459302,10.740602082,2
"Palmira",-76.29821561,3.53293733103,941
"Pamplona",-72.648211059,7.37519414845,96
"Pandi",-74.4867344587,4.19123152625,1
"Panqueba",-72.4589391962,6.44256891347,5
"Paratebueno",-73.2128638635,4.37502628853,3
"Pasca",-74.3049760038,4.31027283605,6
"Pasto",-77.1955147333,1.0557848325,1131
"Patia",-77.1200126233,2.25547448667,20
"Pauna",-73.9785815826,5.65653655177,4
"Paz de ariporo",-71.8917286791,5.88140262363,24
"Paz de rio",-72.7475252291,5.98807090613,23
"Pedraza",-74.916535341,10.1869655901,2
"Pelaya",-73.661830633,8.68732471865,2
"Pensilvania",-75.159294496,5.38371851682,57
"Peñol",-75.2123722544,6.2216831826,25
"Peque",-75.8293466882,6.92583427774,8
"Pereira",-75.7155099202,4.80888773215,351
"Pesca",-73.050663428,5.55868752792,15
"Piamonte",-76.3267213883,1.11567690787,1
"Piedecuesta",-73.0543082606,6.99547484173,13
"Piedras",-74.8765096607,4.54450576723,2
"Piendamo",-76.5273955374,2.63758943296,17
"Pijao",-75.702514102,4.33531325126,4
"Piojo",-75.1439353034664,10.7403198534339,2
"Pisba",-72.4831827809,5.72305842393,1
"Pital",-75.8048973405,2.26725490632,5
"Pitalito",-76.0404004061,1.85414505113,100
"Pivijay",-74.6153957047,10.4613440094,4
"Planadas",-75.6437838795,3.19702137702,6
"Planeta rica",-75.5467041973,8.373541537,51
"Plato",-74.7836448308,9.79340260608,23
"Policarpa",-77.4587713765,1.62869823451,26
"Popayan",-76.640426845,2.43835548047,255
"Pore",-71.9923928081,5.72676620203,6
"Potosi",-77.4378844704,0.7365252068,21
"Pradera",-76.2410411119,3.4194377673,39
"Prado",-74.927275778,3.74982800963,3
"Providencia",-77.5965444343,1.2379913538,10
"Pueblo bello",-73.5870059442,10.4149687931,6
"Pueblo nuevo",-75.4164218404,8.49792361753,164
"Pueblo rico",-76.0307989103,5.22209118931,3
"Pueblorrico",-75.8405778432,5.79341608531,6
"Puente nacional",-73.6775097519,5.87819149232,25
"Puerres",-77.5030051333,0.883414835877,8
"Puerto asis",-76.4978366718,0.504218750676,101
"Puerto berrio",-74.4046363087,6.4900665391,30
"Puerto boyaca",-74.5750541387,5.97331379456,20
"Puerto caicedo",-76.6045178173,0.685064178774,5
"Puerto carreño",-67.4855961,6.18560656721,10
"Puerto colombia",-74.9587617808,10.9855255232,2
"Puerto concordia",-72.7571004622,2.62379154225,3
"Puerto escondido",-76.2614747184,9.00219120432,1
"Puerto gaitan",-72.082954864,4.31202705989,1
"Puerto guzman",-76.4080321934,0.963896881051,7
"Puerto leguizamo",-74.7836699476,-0.184973168422,13
"Puerto libertador",-75.6720222869,7.88927921391,2
"Puerto lleras",-73.3731786644,3.26940842044,1
"Puerto lopez",-72.9559283195,4.09347367871,12
"Puerto nare",-74.5851321578,6.18204690082,9
"Puerto nariño",-70.3564801394,-3.7899163029,2
"Puerto rico",-75.1580393577,1.91091861998,12
