"dpto","mpio","codigos","LAT_CIU_NAC","LON_CIU_NAC"
"NORTE DE SANTANDER","SAN CALIXTO","54-670",NA,NA
"CORDOBA","PLANETA RICA","23-555","8.373541537","-75.5467041973"
"SUCRE","GUARANDA","70-265",NA,NA
"CESAR","AGUACHICA","20-011","8.31012096929","-73.6013004495"
"CORDOBA","AYAPEL","23-068","8.29872012716","-74.9868565054"
"NORTE DE SANTANDER","HACARI","54-344","8.32162940594","-73.1459084076"
"CESAR","GAMARRA","20-295","8.32160639331","-73.7425300764"
"BOLIVAR","MORALES","13-473",NA,NA
"BOLIVAR","MONTECRISTO","13-458","8.01924600103","-74.4626103179"
"CESAR","GONZALEZ","20-310",NA,NA
"NORTE DE SANTANDER","SARDINATA","54-720","8.08058603644","-72.7982608119"
"ANTIOQUIA","TURBO","05-837","8.094096738","-76.7264318312"
"CORDOBA","VALENCIA","23-855",NA,NA
"NORTE DE SANTANDER","CUCUTA","54-001","7.90526711655","-72.5055909659"
"NORTE DE SANTANDER","OCAÑA","54-498","8.24666636498","-73.3551957158"
"BOLIVAR","SAN JACINTO DEL CAUCA","13-655",NA,NA
"NORTE DE SANTANDER","PUERTO SANTANDER","54-553",NA,NA
"CHOCO","UNGUIA","27-800","8.1237324270678","-77.1055624178622"
"CORDOBA","BUENAVISTA","23-079","5.51174852719","-73.9409990293"
"CORDOBA","TIERRALTA","23-807","8.11258899129","-75.9129139739"
"NORTE DE SANTANDER","LA PLAYA","54-398","8.2135938264","-73.2381390884"
"CESAR","RIO DE ORO","20-614","8.29205395597","-73.3870705262"
"BOLIVAR","ARENAL","13-042",NA,NA
"NORTE DE SANTANDER","EL ZULIA","54-261",NA,NA
"NORTE DE SANTANDER","ABREGO","54-003","8.08120418381","-73.2214174328"
"ANTIOQUIA","NECHI","05-495","8.08874643365","-74.7763395888"
"NORTE DE SANTANDER","BUCARASICA","54-109",NA,NA
"CORDOBA","MONTELIBANO","23-466","7.98570061466","-75.4088497209"
"ANTIOQUIA","EL BAGRE","05-250","7.59295465249","-74.8047104261"
"BOLIVAR","SIMITI","13-744",NA,NA
"CORDOBA","LA APARTADA","23-350",NA,NA
"SANTANDER","PUERTO WILCHES","68-575","7.34937400169","-73.8981286072"
"BOLIVAR","SANTA ROSA DEL SUR","13-688","7.96319110325","-74.0514460679"
"CESAR","SAN MARTIN","20-770","7.99958","-73.510987"
"NORTE DE SANTANDER","VILLA CARO","54-871",NA,NA
"ANTIOQUIA","APARTADO","05-045","7.88271669622","-76.6261859724"
"ANTIOQUIA","CAUCASIA","05-154","7.97776036994","-75.1985143435"
"CESAR","SAN ALBERTO","20-710","7.83696761443","-73.4288982244"
"NORTE DE SANTANDER","LOURDES","54-418","7.94523586891","-72.8320469133"
"NORTE DE SANTANDER","GRAMALOTE","54-313",NA,NA
"ANTIOQUIA","CACERES","05-120","7.57506519303","-75.3529801717"
"CORDOBA","PUERTO LIBERTADOR","23-580","7.88927921391","-75.6720222869"
"NORTE DE SANTANDER","SANTIAGO","54-680","1.1465700937","-77.0025114068"
"NORTE DE SANTANDER","SAN CAYETANO","54-673",NA,NA
"CHOCO","RIOSUCIO","27-615","5.42395347461","-75.7023188489"
"ANTIOQUIA","CAREPA","05-147","7.75420419468","-76.6531189552"
"NORTE DE SANTANDER","SALAZAR","54-660","7.7727182846","-72.8087686232"
"NORTE DE SANTANDER","VILLA DEL ROSARIO","54-874","7.84904659595","-72.4705192458"
"NORTE DE SANTANDER","CACHIRA","54-128","7.73974335671","-73.0496492115"
"NORTE DE SANTANDER","DURANIA","54-239","7.71421899786","-72.6561980754"
"NORTE DE SANTANDER","LOS PATIOS","54-405","7.83349267282","-72.5060367469"
"NORTE DE SANTANDER","LA ESPERANZA","54-385",NA,NA
"ANTIOQUIA","CHIGORODO","05-172","7.66615644949","-76.6815647246"
"ANTIOQUIA","TARAZA","05-790","7.58161135295","-75.3997109965"
"NORTE DE SANTANDER","BOCHALEMA","54-099","7.61206780961","-72.6472817269"
"SANTANDER","RIONEGRO","68-615","6.14622006041","-75.3762557551"
"NORTE DE SANTANDER","ARBOLEDAS","54-051","7.64269066476","-72.7988340008"
"ANTIOQUIA","ZARAGOZA","05-895","7.488149672","-74.8679617402"
"SANTANDER","SABANA DE TORRES","68-655","7.39517157701","-73.4983457764"
"NORTE DE SANTANDER","CHINACOTA","54-172","7.6025629692","-72.6024502906"
"NORTE DE SANTANDER","RAGONVALIA","54-599","7.57746227768","-72.4760192272"
"SANTANDER","SURATA","68-780","7.36717155542","-72.9842771975"
"NORTE DE SANTANDER","CUCUTILLA","54-223","7.53917387611","-72.7724467652"
"SANTANDER","EL PLAYON","68-255","7.47271835801","-73.2046203518"
"NORTE DE SANTANDER","PAMPLONITA","54-520",NA,NA
"NORTE DE SANTANDER","HERRAN","54-347",NA,NA
"BOLIVAR","SAN PABLO","13-670","1.66915803917","-77.0127283397"
"SANTANDER","CALIFORNIA","68-132",NA,NA
"CHOCO","JURADO","27-372","7.10603959523","-77.7646171026"
"ANTIOQUIA","SEGOVIA","05-736","7.08108247705","-74.6990624579"
"SANTANDER","VETAS","68-867","7.30938136063","-72.8707413209"
"NORTE DE SANTANDER","TOLEDO","54-820","7.29935086688","-72.4791068097"
"SANTANDER","MATANZA","68-444",NA,NA
"BOLIVAR","CANTAGALLO","13-160",NA,NA
"NORTE DE SANTANDER","PAMPLONA","54-518","7.37519414845","-72.648211059"
