"EXAMEN","CANTIDADEVALUADOS","NOMBRE_SEDE","ID_PROGRAMA_ACAD","NOMBRE_PROGRAMA_ACAD","NOMBRE_GRUPOREF","FACULTAD","n","Competencias Ciudadanas","Comunicación Escrita","Análisis De Problemáticas Psicológicas","Lectura Crítica","Razonamiento Cuantitativo","Formulación De Proyectos De Ingeniería","Pensamiento Científico - Ciencias Biológicas","Pensamiento Científico - Ciencias Físicas","Formar","Diseño De Procesos Industriales","Estudio Proyectual","Atención En Salud","Pensamiento Científico - Matemáticas Y Estadística","Investigación En Ciencias Sociales","Pensamiento Científico - Química","Gestión Financiera","Inglés","Pensamiento Científico - Ciencias De La Tierra","Gestión De Organizaciones","Proyecto De Arquitectura","Investigación Jurídica","Diseño De Obras De Infraestructura","Diseño De Sistemas De Manejo Del Impacto Ambiental","Enseñar","Diseño De Software","Diagnóstico Y Tratamiento En Salud Oral","Formulación, Evaluación Y Gestión De Proyectos","Promoción De La Salud Y Prevención De La Enfermedad","Diseño De Sistemas Mecánicos","Fundamentación En Diagnóstico Y Tratamiento Médicos","Diseño De Sistemas, Procesos Y Productos Agroindustriales","Generación De Artefactos","Análisis Económico","Producción Pecuaria","Intervención En Procesos Sociales","Información Y Control Contable","Producción Agrícola","Diseño De Sistemas De Control","Cuidado De Enfermería En Los Ámbitos Clínico Y Comunitario","Evaluar","Salud Y Bienestar Animal","Diseño De Sistemas Productivos Y Logísticos","Comunicación Jurídica","Gestión Del Conflicto"
"SABER PRO - 2019",43,"Bogotá",186,"Cine Y Television","Bellas Artes Y Diseño","Artes",343,177,150,NA,190,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",107,"Bogotá",5551,"Administracion De Empresas","Administración Y Afines","Ciencias Económicas",1142,181,160,NA,187,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",41,"Medellín",4808,"Ingenieria Biologica","Ciencias Naturales Y Exactas","Ciencias",507,176,160,NA,189,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",62,"Bogotá",3668,"Trabajo Social","Ciencias Sociales","Ciencias Humanas",567,184,167,NA,187,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",37,"Manizales",5245,"Ingenieria Fisica","Ciencias Naturales Y Exactas","Ciencias Exactas Y Naturales",220,157,149,NA,154,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",90,"Manizales",1348,"Ingenieria Civil","Ingeniería","Ingeniería Y Arquitectura",909,159,144,NA,170,199,156,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",94,"Bogotá",5101,"Ingenieria Electrica","Ingeniería","Ingeniería",726,NA,NA,NA,NA,NA,171,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",50,"Bogotá",3761,"Ingenieria Agricola","Ingeniería","Ingeniería",391,NA,NA,NA,NA,NA,180,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",46,"Manizales",6883,"Administracion De Sistemas Informaticos","Ingeniería","Administración",474,148,150,NA,158,169,153,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",12,"Manizales",95,"Matematicas","Ciencias Naturales Y Exactas","Ciencias Exactas Y Naturales",85,148,150,NA,165,198,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
