"SEDE_NOMBRE_MAT","FACULTAD","PROGRAMA","NIVEL","n"
"Bogota","Derecho, Ciencias Politicas Y Sociales","Estudios Politicos Latinoamericanos","Maestria",30
"Bogota","Derecho, Ciencias Politicas Y Sociales","Biociencias Y Derecho","Maestria",24
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho, Ciencias Politicas Y Sociales","Maestria",23
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho","Pregrado",1162
"Bogota","Derecho, Ciencias Politicas Y Sociales","Ciencia Politica","Pregrado",1026
"Bogota","Derecho, Ciencias Politicas Y Sociales","Derecho, Ciencias Politicas Y Sociales","Pregrado",262
"Bogota","Enfermeria","Enfermeria","Doctorado",40
"Bogota","Enfermeria","Enfermeria Cardiorrespiratoria","Especializacion",107
"Bogota","Enfermeria","Salud Ocupacional","Especializacion",99
"Bogota","Enfermeria","Salud Y Seguridad En El Trabajo","Especializacion",46
"Bogota","Enfermeria","Enfermeria Materna Perinatal Con Apoyo Familiar","Especializacion",39
"Bogota","Enfermeria","Enfermeria Materno Perinatal","Especializacion",16
"Bogota","Enfermeria","Enfermeria","Especializacion",14
"Bogota","Enfermeria","Enfermeria","Maestria",291
"Bogota","Enfermeria","Salud Y Seguridad En El Trabajo","Maestria",79
"Bogota","Enfermeria","Enfermeria","Pregrado",1270
"Bogota","Ingenieria","Ingenieria - Ingenieria Quimica","Doctorado",44
"Bogota","Ingenieria","Ingenieria - Ciencia Y Tecnologia De Materiales","Doctorado",35
"Bogota","Ingenieria","Ingenieria - Ingenieria Electrica","Doctorado",30
"Bogota","Ingenieria","Ingenieria - Sistemas Y Computacion","Doctorado",28
"Bogota","Ingenieria","Ingenieria - Industria Y Organizaciones","Doctorado",25
"Bogota","Ingenieria","Ingenieria - Ingenieria Mecanica Y Mecatronica","Doctorado",13
"Bogota","Ingenieria","Ingenieria Sistemas Y Computacion","Doctorado",11
"Bogota","Ingenieria","Ingenieria - Ingenieria Civil","Doctorado",4
"Bogota","Ingenieria","Ingenieria - Geotecnia","Doctorado",3
"Bogota","Ingenieria","Ingenieria","Doctorado",1
"Bogota","Ingenieria","Transito, Diseño Y Seguridad Vial","Especializacion",142
"Bogota","Ingenieria","Gobierno Electronico","Especializacion",113
"Bogota","Ingenieria","Iluminacion Publica Y Privada","Especializacion",111
"Bogota","Ingenieria","Estructuras","Especializacion",74
"Bogota","Ingenieria","Ingenieria","Especializacion",31
"Bogota","Ingenieria","Ingenieria Ambiental - Area Sanitaria","Especializacion",8
"Bogota","Ingenieria","Automatizacion Industrial","Especializacion",3
"Bogota","Ingenieria","Geotecnia","Especializacion",1
"Bogota","Ingenieria","Transportes","Especializacion",1
"Bogota","Ingenieria","Ingenieria - Ingenieria De Sistemas Y Computacion","Maestria",145
"Bogota","Ingenieria","Ingenieria - Ingenieria Quimica","Maestria",138
"Bogota","Ingenieria","Ingenieria - Automatizacion Industrial","Maestria",118
"Bogota","Ingenieria","Ingenieria - Ingenieria Electrica","Maestria",113
"Bogota","Ingenieria","Ingenieria - Geotecnia","Maestria",109
"Bogota","Ingenieria","Ingenieria - Recursos Hidraulicos","Maestria",91
"Bogota","Ingenieria","Ingenieria - Ingenieria Ambiental","Maestria",90
"Bogota","Ingenieria","Ingenieria Industrial","Maestria",90
"Bogota","Ingenieria","Ingenieria","Maestria",87
"Bogota","Ingenieria","Ingenieria - Telecomunicaciones","Maestria",82
"Bogota","Ingenieria","Ingenieria - Estructuras","Maestria",75
"Bogota","Ingenieria","Ingenieria - Ingenieria Industrial","Maestria",75
"Bogota","Ingenieria","Ingenieria Mecanica","Maestria",72
