"YEAR","LON_CIU_NAC","LAT_CIU_NAC","DEP_NAC","CIU_NAC","n"
2009,"-75.032145839199998","10.829900784399999","ATLANTICO","Juan de acosta",1
2009,"-75.083666304199994","9.9513812767700003","BOLIVAR","San juan nepomuceno",1
2009,"-75.117789876000003","5.0302954452300002","TOLIMA","Villahermosa",3
2009,"-75.143097412399996","6.3744738015299998","ANTIOQUIA","Alejandria",1
2009,"-75.146672038099993","9.2444824429299999","SUCRE","Since",1
2009,"-75.158039357700005","1.9109186199799999","CAQUETA","Puerto rico",2
2009,"-75.258325325000001","5.2835107602000004","CALDAS","Marulanda",1
2009,"-75.268132589999993","9.3801770600999994","SUCRE","Los palmitos",1
2009,"-75.282837366199999","1.67906350715","CAQUETA","El doncello",2
2009,"-75.283599938099997","6.7259943524799999","ANTIOQUIA","Carolina",2
2009,"-75.310398605200007","9.3289249426499996","SUCRE","Morroa",1
2009,"-75.315694651900003","2.5225559049899999","HUILA","Algeciras",1
2009,"-75.334796043200001","6.2794048714799997","ANTIOQUIA","San vicente ferrer",1
2009,"-75.394095164500001","6.4858853462599999","ANTIOQUIA","Donmatias",1
2009,"-75.439555788199996","9.4531879946099995","SUCRE","Toluviejo",1
2009,"-75.439711915299995","7.1631376806400002","ANTIOQUIA","Valdivia",1
2009,"-75.483582209800005","3.7257611101900001","TOLIMA","Chaparral",6
2009,"-75.501229215999999","10.398816484399999","BOLIVAR","Cartagena de indias",37
2009,"-75.508699462600006","9.1448862468299996","CORDOBA","San andres de sotavento",1
2009,"-75.517154846599993","6.5666500492599997","ANTIOQUIA","Entrerrios",3
2009,"-75.629721946000004","6.1681583032200002","ANTIOQUIA","Itagui",21
2009,"-75.643783879500006","3.19702137702","TOLIMA","Planadas",2
2009,"-75.672773119699897","6.9236096390800004","ANTIOQUIA","San andres de cuerquia",5
2009,"-75.702514101999995","4.3353132512599997","QUINDIO","Pijao",2
2009,"-75.714221535199997","5.6651767583600003","ANTIOQUIA","Tamesis",2
2009,"-75.775097676900003","2.4496143615500001","HUILA","Paicol",1
2009,"-75.775661460799995","4.6739418992899999","VALLE DEL CAUCA","Alcala",1
2009,"-75.827232381800002","6.5582689861999999","ANTIOQUIA","Santa fe de antioquia",2
2009,"-75.879658430899994","4.8983437954499998","RISARALDA","La virginia",2
2009,"-75.979165449800007","2.19897948866","HUILA","La argentina",1
2009,"-75.997553589500001","2.0241589371400002","HUILA","Oporapa",1
2009,"-750135287985","659468858167","ANTIOQUIA","Yolombo",2
2009,"-75016636739","392679713246","TOLIMA","Saldaña",1
2009,"-750222636421","648481184945","ANTIOQUIA","San roque",1
2009,"-750282495206","629394973638","ANTIOQUIA","San rafael",1
2009,"-750313690338","892992440782","SUCRE","San benito abad",1
2009,"-750361949825","515358768839","TOLIMA","Fresno",8
2009,"-750478539726","529865089582","CALDAS","Marquetalia",1
2009,"-750532201721","491611360304","TOLIMA","Libano",11
2009,"-75073147584","690887428957","ANTIOQUIA","Amalfi",3
2009,"-750862390602","653887519896","ANTIOQUIA","Cisneros",7
2009,"-750946715077","471380797974","TOLIMA","Santa isabel",1
2009,"-751211388325","971803422099","BOLIVAR","El carmen de bolivar",1
2009,"-751535019918","525410160582","CALDAS","Manzanares",3
2009,"-751576575678","654370752206","ANTIOQUIA","Santo domingo",3
2009,"-75159294496","538371851682","CALDAS","Pensilvania",8
2009,"-751749212942","561099552193","ANTIOQUIA","Nariño",1
2009,"-751782250336","507994522497","TOLIMA","Herveo",3
